layer,layer_size,training_time,layer_inference_time
nn_layer_1,640,13.379345703125,15.6701171875
nn_layer_2,384,14.088818359375,10.95458984375
nn_layer_3,1280,10.90615234375,10.039697265625
nn_layer_4,4608,12.017431640625,11.8587646484375
nn_layer_5,17408,12.644091796875,13.9159423828125
nn_layer_6,67584,11.2172607421875,11.0177978515625
nn_layer_7,266240,10.2927490234375,11.95654296875
nn_layer_8,1056768,12.8927490234375,9.3412353515625
nn_output_layer,8224,13.460107421875,11.0208251953125
