layer,layer_size,training_time,layer_inference_time
nn_layer_1,40960,14.4001953125,10.01162109375
nn_layer_2,264192,12.851416015625,11.9627685546875
nn_layer_3,66560,15.6030029296875,12.4692138671875
nn_layer_4,16896,12.047802734375,11.43681640625
nn_layer_5,8704,12.8366943359375,10.5251953125
nn_layer_6,17408,14.8279296875,9.96796875
nn_layer_7,67584,15.214453125,9.922119140625
nn_layer_8,266240,12.623193359375,9.9689453125
nn_output_layer,4128,13.52490234375,12.8802978515625
