Layer,Size (bits),Training Time (s),Inference Time (s)
nn_layer_1,20480,14.5035400390625,11.013671875
nn_layer_2,133120,16.670751953125,9.6353759765625
nn_layer_3,133120,13.9179443359375,10.056396484375
nn_layer_4,133120,14.4425537109375,9.8976806640625
nn_layer_5,133120,12.0631103515625,10.1100830078125
nn_layer_6,133120,12.6319091796875,10.0974365234375
nn_layer_7,133120,10.3082275390625,9.9397705078125
nn_layer_8,133120,10.5760986328125,9.32119140625
nn_output_layer,2080,12.5705810546875,10.886767578125
