layer,layer_size,training_time,layer_inference_time
nn_layer_1,81920,13.4128173828125,12.05400390625
nn_layer_2,1052672,13.87421875,12.4749755859375
nn_layer_3,264192,13.4468505859375,12.4910400390625
nn_layer_4,66560,13.273046875,13.5221435546875
nn_layer_5,16896,11.6786376953125,11.9421630859375
nn_layer_6,4352,13.5037353515625,12.4896484375
nn_layer_7,1152,12.0452880859375,12.30732421875
nn_layer_8,320,10.8918701171875,14.473095703125
nn_output_layer,96,12.2425537109375,10.652099609375
